Team 1 Compo,Team 2 Compo,Victory
"['Gangplank', 'Ivern', 'Olaf', 'Volibear', 'Ziggs']","['Master Yi', 'Miss Fortune', 'Sett', 'Teemo', 'Yone']",0
"['Fiora', 'Lucian', 'Nami', 'Skarner', 'Veigar']","['Ekko', ""Kai'Sa"", 'Mordekaiser', 'Thresh', 'Yone']",1
"['Bard', 'Olaf', 'Senna', 'Shen', 'Viktor']","['Anivia', 'Caitlyn', 'Fiora', 'Warwick', 'Xerath']",0
"['Fiora', 'Jinx', 'Morgana', 'Vladimir', 'Warwick']","['Camille', 'Graves', 'Jhin', 'Soraka', 'Zoe']",0
"['Aatrox', 'LeBlanc', 'Morgana', 'Rengar', 'Vayne']","['Ashe', 'Fiora', 'Thresh', 'Viktor', 'Warwick']",1
"['Brand', 'Diana', 'Kayn', 'Renekton', 'Vayne']","['Cassiopeia', 'Evelynn', 'Fiora', ""Kai'Sa"", 'Nautilus']",0
"['Caitlyn', 'Fiora', 'Hecarim', 'Karma', 'Lux']","['Draven', 'Jax', 'Lillia', 'Morgana', 'Rumble']",1
"['Caitlyn', 'Graves', 'Karma', 'Orianna', 'Renekton']","['Hecarim', 'Janna', 'Lucian', 'Ornn', 'Swain']",0
"['Ashe', 'Fiora', ""Kha'Zix"", 'Nautilus', 'Swain']","['Ezreal', 'Hecarim', 'Kassadin', 'Shen', 'Vladimir']",0
"['Irelia', 'Janna', 'Kayle', 'Tristana', 'Vi']","['Lulu', 'Malphite', 'Neeko', 'Sett', 'Vayne']",0
"['Kayle', 'Pantheon', 'Teemo', 'Veigar', 'Vi']","['Blitzcrank', 'Caitlyn', 'Ekko', 'Lissandra', 'Sett']",1
"['Ashe', 'Lee Sin', 'Miss Fortune', 'Neeko', 'Senna']","['Kassadin', 'Kayle', 'Lillia', 'Lux', 'Sivir']",1
"['Ashe', 'Azir', 'Fiora', 'Soraka', 'Zac']","['Kayle', 'Sett', 'Sivir', 'Thresh', 'Yone']",1
"['Akali', 'Aphelios', 'Galio', 'Garen', 'Jax']","['Kennen', 'Lux', 'Master Yi', 'Mordekaiser', 'Yasuo']",1
"['Ashe', 'Blitzcrank', 'Ekko', 'Nunu & Willump', 'Sett']","['Master Yi', 'Morgana', 'Pantheon', 'Xayah', 'Sett']",1
"['Aphelios', 'Jhin', 'Sylas', 'Ziggs', 'Lux']","['Darius', 'Tristana', 'Varus', 'Yasuo', 'Lux']",0
"['Aphelios', 'Lux', 'Yone', 'Zoe', 'Zyra']","['Akali', 'Karthus', 'Lissandra', 'Morgana', 'Sett']",0
"['Amumu', 'Malphite', 'Miss Fortune', 'Pyke', 'Qiyana']","['Fiora', ""Kai'Sa"", 'Lee Sin', 'Sett', 'Volibear']",1
"['Ahri', 'Amumu', 'Mordekaiser', 'Yasuo', 'Miss Fortune']","['Fiora', 'Veigar', 'Volibear', 'Warwick', 'Miss Fortune']",1
"['Caitlyn', 'Morgana', 'Teemo', 'Warwick', 'Zyra']","[""Cho'Gath"", 'Jhin', 'Lissandra', 'Pantheon', 'Thresh']",1
"['Malphite', 'Master Yi', 'Sett', 'Xayah', 'Yone']","['Karma', 'Kayle', 'Sona', 'Tristana', 'Warwick']",1
"[""Kai'Sa"", ""Kha'Zix"", 'Morgana', 'Ornn', 'Yone']","['Jinx', 'Karthus', 'Nocturne', 'Thresh', 'Zed']",0
"['Akali', 'Fiora', 'Lee Sin', 'Senna', ""Vel'Koz""]","[""Kai'Sa"", 'Lillia', 'Nautilus', 'Riven', 'Yasuo']",0
"['Jax', 'Kayn', 'Sett', 'Twitch', 'Xin Zhao']","['Caitlyn', 'Dr. Mundo', 'Fiddlesticks', 'Pantheon', 'Yasuo']",1
"['Caitlyn', ""Kha'Zix"", 'Pantheon', 'Wukong', 'Yuumi']","['Akali', 'Jhin', 'Kayn', 'Lulu', 'Sett']",1
"['Akali', 'Amumu', 'Blitzcrank', 'Irelia', 'Jhin']","['Brand', 'Camille', ""Kha'Zix"", 'Orianna', 'Sivir']",1
"['Akali', 'Ezreal', 'Jarvan IV', 'Nami', 'Tryndamere']","['Jinx', 'Karma', 'Renekton', 'Shen', 'Yone']",0
"[""Kai'Sa"", 'Lillia', 'Lulu', 'Tristana', 'Veigar']","['Gnar', 'Jhin', ""Kha'Zix"", 'Thresh', 'Vladimir']",1
"['Blitzcrank', 'Jax', 'Miss Fortune', 'Tryndamere', 'Zoe']","['Garen', 'Jinx', 'Varus', 'Yone', 'Zyra']",0
"['Alistar', 'Jax', 'Miss Fortune', 'Nidalee', 'Swain']","['Pyke', 'Syndra', 'Tristana', 'Vladimir', 'Warwick']",0
"['Hecarim', 'Jinx', 'Nautilus', 'Riven', 'Irelia']","['Pyke', 'Shaco', 'Varus', 'Veigar', 'Irelia']",0
"['Gnar', 'LeBlanc', 'Lee Sin', 'Shen', 'Draven']","['Akali', 'Nunu & Willump', 'Rakan', 'Vayne', 'Draven']",1
"['LeBlanc', 'Ornn', 'Rammus', 'Thresh', 'Varus']","['Jhin', 'Leona', 'Olaf', 'Renekton', 'Twisted Fate']",1
"['Dr. Mundo', ""Kai'Sa"", 'Morgana', 'Xin Zhao', 'Yasuo']","['Ekko', 'Ezreal', 'Lee Sin', 'Renekton', 'Sona']",1
"['Darius', 'Heimerdinger', 'Jhin', 'Lee Sin', 'Lux']","['Galio', 'Jax', 'Kayle', 'Malphite', 'Varus']",1
"['Annie', 'Caitlyn', 'Hecarim', 'Thresh', 'Vladimir']","[""Kai'Sa"", 'Neeko', 'Ryze', 'Udyr', 'Yorick']",1
"['Ashe', 'Caitlyn', 'Leona', 'Nocturne', 'Viktor']","['Annie', 'Hecarim', 'Vladimir', 'Yasuo', 'Yone']",1
"['Ashe', 'Kayn', 'Leona', 'Vladimir', 'Yone']","['Jax', 'Jhin', 'Kayle', 'Lux', 'Senna']",1
"['Caitlyn', ""Kha'Zix"", 'Veigar', 'Volibear', 'Yone']","['Ashe', 'Lux', 'Senna', 'Shaco', 'Vladimir']",0
"['Kalista', 'Leona', 'Malphite', 'Master Yi', 'Yasuo']","['Jhin', 'Kindred', 'Lux', 'Pyke', 'Yone']",1
"['Alistar', 'Caitlyn', 'Jax', 'Lux', 'Teemo']","['Miss Fortune', 'Riven', ""Vel'Koz"", 'Yasuo', 'Zac']",0
"['Jhin', ""Kai'Sa"", 'Lux', 'Teemo', 'Veigar']","['Ahri', 'Caitlyn', 'Hecarim', ""Rek'Sai"", 'Zyra']",0
"['Graves', 'Malzahar', 'Teemo', 'Tryndamere', 'Leona']","['Ahri', 'Akali', 'Jinx', 'Shaco', 'Leona']",0
"['Ashe', 'Gangplank', 'Jinx', 'Morgana', 'Lee Sin']","[""Kai'Sa"", 'Vladimir', 'Yone', 'Yuumi', 'Lee Sin']",0
"['LeBlanc', 'Rakan', 'Shaco', 'Xayah', 'Yone']","['Braum', 'Caitlyn', ""Kha'Zix"", 'Lux', 'Tryndamere']",0
"['Ahri', 'Graves', 'Mordekaiser', 'Morgana', 'Xayah']","['Gragas', 'Lucian', 'Nautilus', 'Vladimir', 'Yasuo']",0
"['Brand', 'Gragas', 'Hecarim', 'Sivir', 'Zed']","['Caitlyn', 'Ekko', 'Jax', 'Pyke', 'Renekton']",0
"['Akali', 'Janna', 'Jhin', 'Kayn', 'Maokai']","['Irelia', 'Kindred', 'Morgana', 'Xayah', 'Zed']",1
"['Janna', 'Jhin', ""Kha'Zix"", 'Poppy', 'Zed']","['Brand', ""Cho'Gath"", 'Kayle', 'Lucian', 'Qiyana']",1
"['Ashe', 'Blitzcrank', 'Illaoi', 'Sejuani', 'Yasuo']","['Akali', 'Graves', ""Kai'Sa"", 'Mordekaiser', 'Senna']",0
"[""Kai'Sa"", 'Lulu', 'Sejuani', 'Shen', 'Vladimir']","['Ashe', 'Graves', 'Irelia', 'Sett', 'Sona']",0
"['Ashe', 'Gnar', 'Irelia', 'Janna', 'Shaco']","['Garen', ""Kai'Sa"", 'Kayn', 'Orianna', 'Senna']",1
"['Ashe', 'Azir', 'Lulu', 'Olaf', 'Singed']","['Ahri', 'Caitlyn', 'Kennen', 'Senna', 'Sett']",0
"['Darius', 'Lucian', 'Lulu', 'Malzahar', 'Nunu & Willump']","['Jax', 'Jinx', 'Kindred', 'Lux', 'Yuumi']",0
"['Ashe', 'Elise', 'Orianna', 'Rakan', 'Volibear']","['Fizz', 'Irelia', 'Lucian', 'Nami', 'Warwick']",0
"['Ezreal', 'Katarina', 'Lulu', 'Ornn', 'Sett']","['Bard', 'Darius', ""Kai'Sa"", 'Sylas', 'Zac']",0
"['Akali', 'Hecarim', 'Renekton', 'Thresh', 'Twitch']","['Kayn', 'Leona', 'Tristana', 'Wukong', 'Yasuo']",0
"['Katarina', 'Leona', 'Lucian', 'Wukong', 'Zac']","['Elise', 'Garen', 'Janna', 'Sivir', 'Sylas']",1
"['Braum', 'Elise', 'Lucian', 'Renekton', 'Riven']","['Ashe', 'Graves', 'LeBlanc', 'Leona', 'Ornn']",0
"['Ashe', 'Lulu', 'Renekton', 'Warwick', 'Yasuo']","['Jinx', 'Master Yi', 'Pantheon', 'Poppy', 'Ziggs']",1
"['Jinx', 'Lulu', 'Master Yi', 'Shen', 'Sylas']","['Ezreal', 'Fiora', 'Hecarim', 'Lux', 'Ornn']",0
"['Gangplank', 'Jhin', 'Leona', 'Neeko', 'Shyvana']","['Blitzcrank', 'Ezreal', ""Kha'Zix"", 'Vladimir', 'Yone']",0
"['Draven', 'Graves', 'Jax', 'Morgana', 'Ryze']","['Master Yi', 'Miss Fortune', 'Mordekaiser', 'Senna', 'Zed']",0
"['Ahri', 'Draven', 'Ekko', 'Graves', 'Leona']","['Ezreal', 'Master Yi', 'Nasus', 'Yone', 'Zyra']",1
"['Fizz', 'Miss Fortune', 'Rammus', 'Senna', 'Sylas']","['Ahri', 'Blitzcrank', 'Ekko', 'Jhin', 'Tahm Kench']",0
"['Camille', 'Gragas', 'Jhin', 'Leona', 'Yasuo']","['Amumu', 'Jax', 'Katarina', 'Lux', 'Miss Fortune']",0
"['Ekko', 'Galio', ""Kai'Sa"", 'Lux', 'Shen']","['Jhin', 'Kayle', 'Lee Sin', ""Vel'Koz"", 'Zed']",1
"['Aphelios', 'Elise', 'Leona', 'Lucian', 'Yone']","['Camille', 'Jhin', 'Lee Sin', 'Nautilus', 'Yasuo']",0
"['Jhin', 'Neeko', 'Shen', 'Thresh', 'Volibear']","[""Kai'Sa"", 'Katarina', 'Lux', 'Riven', 'Xin Zhao']",1
"['Caitlyn', 'Fiddlesticks', 'Galio', 'Pantheon', 'Urgot']","['Illaoi', 'Lee Sin', 'Soraka', 'Tristana', 'Yasuo']",0
"['Diana', 'Jhin', 'Nunu & Willump', 'Soraka', 'Yasuo']","['Ekko', 'Jarvan IV', ""Kai'Sa"", 'Nami', 'Singed']",0
"['Ekko', 'Illaoi', 'Sett', 'Xayah', 'Xerath']","['Ahri', 'Hecarim', 'Senna', 'Swain', 'Urgot']",0
"['Katarina', 'Lee Sin', 'Lux', 'Sivir', 'Urgot']","['Ashe', 'Ekko', 'Garen', 'Nocturne', 'Yuumi']",0
"['Ashe', 'Ekko', 'Mordekaiser', 'Soraka', ""Vel'Koz""]","['Katarina', 'Kindred', 'Miss Fortune', 'Urgot', 'Yuumi']",1
"['Caitlyn', 'Garen', 'Lee Sin', 'Morgana', 'Rumble']","['Kayn', 'Malphite', 'Vayne', 'Yasuo', 'Yuumi']",0
"['Jinx', 'Lee Sin', 'Mordekaiser', 'Orianna', 'Xerath']","['Caitlyn', 'Sion', 'Sylas', 'Volibear', 'Yuumi']",0
"['Caitlyn', 'Ekko', 'Kayn', 'Poppy', 'Yuumi']","['Draven', 'Fizz', 'Garen', 'Malphite', 'Shen']",0
"['Ashe', 'Fiora', 'Irelia', 'Kayn', 'Morgana']","['Ekko', 'Elise', 'Illaoi', 'Lucian', 'Taric']",1
"['Dr. Mundo', 'Fiddlesticks', ""Kai'Sa"", 'Pyke', 'Viktor']","['Ashe', 'Ezreal', 'LeBlanc', 'Lulu', 'Teemo']",0
"['Katarina', 'Kayn', 'Renekton', 'Yasuo', 'Yuumi']","['Jax', ""Kai'Sa"", ""Rek'Sai"", 'Thresh', 'Veigar']",1
"['Evelynn', 'Lux', 'Pantheon', 'Tristana', 'Brand']","['Ashe', ""Kha'Zix"", 'Renekton', 'Zoe', 'Brand']",1
"['Lux', 'Miss Fortune', 'Nocturne', 'Teemo', 'Tristana']","[""Kha'Zix"", 'Rakan', 'Sylas', 'Vayne', 'Yone']",1
"['Jinx', 'Riven', ""Vel'Koz"", 'Warwick', 'Yasuo']","['Garen', 'Kayle', 'Lee Sin', 'Nautilus', 'Senna']",1
"['Darius', 'Jax', 'Katarina', 'Lucian', 'Thresh']","['Blitzcrank', 'Diana', ""Kai'Sa"", 'Teemo', 'Vi']",0
"['Graves', ""Kai'Sa"", 'Malphite', 'Sylas', 'Vladimir']","['Ashe', 'Blitzcrank', 'Garen', 'Kayn', 'Zed']",0
"['Akali', 'Blitzcrank', 'Garen', 'Jhin', 'Malphite']","['Lucian', 'Mordekaiser', 'Pyke', 'Talon', 'Vi']",0
"['Bard', 'Corki', 'Ekko', 'Garen', ""Kai'Sa""]","['Ashe', 'Caitlyn', 'Kayn', 'Lux', 'Renekton']",1
"['Diana', 'Illaoi', 'Jax', 'Jinx', 'Lux']","['Fiddlesticks', ""Kai'Sa"", 'Mordekaiser', 'Volibear', 'Xin Zhao']",0
"['Caitlyn', 'Lux', 'Poppy', 'Rammus', ""Vel'Koz""]","['Ashe', 'Jax', 'Kayle', 'Zed', 'Zyra']",1
"['Mordekaiser', 'Morgana', 'Vladimir', 'Volibear', 'Xayah']","['Caitlyn', 'Diana', 'Lillia', 'Sett', 'Veigar']",0
"['Ashe', ""Vel'Koz"", 'Warwick', 'Wukong', 'Lux']","[""Cho'Gath"", 'Evelynn', 'Lissandra', 'Pantheon', 'Lux']",1
"['Cassiopeia', 'Ezreal', 'Pyke', 'Shaco', 'Zed']","['Annie', 'Illaoi', 'Malphite', 'Miss Fortune', 'Sett']",1
"['Ekko', 'Galio', 'Sett', 'Thresh', 'Ashe']","['Garen', 'Hecarim', 'Pyke', 'Ziggs', 'Ashe']",1
"['Ahri', 'Jhin', ""Kha'Zix"", 'Morgana', 'Sett']","['Ashe', 'Kennen', 'Shaco', 'Teemo', 'Yasuo']",0
"['Jhin', 'Mordekaiser', 'Neeko', 'Olaf', 'Yasuo']","['Galio', 'Jax', 'Master Yi', 'Miss Fortune', 'Teemo']",1
"['Caitlyn', 'Heimerdinger', 'Malphite', 'Master Yi', 'Senna']","['Diana', 'Miss Fortune', 'Nautilus', 'Sett', 'Warwick']",0
"['Karma', 'Orianna', 'Rengar', 'Shen', 'Twitch']","['Cassiopeia', 'Nautilus', 'Riven', 'Shyvana', 'Volibear']",0
"['Camille', 'Jhin', 'Lee Sin', 'Soraka', 'Volibear']","['Azir', 'Master Yi', 'Mordekaiser', 'Nautilus', 'Volibear']",1
"['Ekko', 'Hecarim', 'Miss Fortune', 'Pantheon', 'Yasuo']","['Illaoi', ""Kai'Sa"", 'Leona', 'Twisted Fate', 'Volibear']",0
"['Anivia', 'Janna', 'Vi', 'Vladimir', 'Yone']","['Evelynn', 'Morgana', 'Nasus', 'Xayah', 'Zed']",0
"['Ahri', 'Camille', 'Jax', ""Kai'Sa"", 'Morgana']","['Annie', 'Sona', 'Urgot', 'Vi', 'Yone']",0
"['Fiora', 'Jinx', 'Lillia', 'Neeko', 'Yasuo']","['Ezreal', 'Nasus', 'Nunu & Willump', 'Soraka', 'Yone']",1
"['Fiora', 'Jhin', 'Lillia', 'Lux', 'Morgana']","['Ahri', 'Janna', 'Malphite', 'Sivir', 'Yone']",0
"['Kalista', 'Karma', 'Lillia', 'Malphite', 'Sett']","['Fiora', 'Pyke', 'Xayah', 'Yone', 'Zac']",1
"['Alistar', 'Jhin', 'Quinn', 'Yone', 'Zac']","['Gnar', 'Jinx', 'Morgana', 'Volibear', 'Zed']",1
"['Fiora', 'Master Yi', 'Sett', 'Sylas', 'Yasuo']","['Darius', 'Miss Fortune', 'Vi', 'Warwick', 'Zed']",1
"['Sett', 'Tristana', 'Udyr', 'Xerath', 'Volibear']","[""Kha'Zix"", 'Miss Fortune', 'Pantheon', 'Teemo', 'Volibear']",1
"['Garen', 'Lux', 'Master Yi', 'Sylas', 'Miss Fortune']","['Ekko', 'Fizz', 'Jayce', 'Riven', 'Miss Fortune']",1
"['Ashe', 'Gangplank', 'Master Yi', 'Miss Fortune', 'Tryndamere']","['Aatrox', 'Poppy', 'Rakan', 'Xayah', 'Zoe']",1
"['Blitzcrank', 'Caitlyn', 'Kayn', 'Mordekaiser', 'Miss Fortune']","['Riven', 'Sett', 'Zed', 'Zyra', 'Miss Fortune']",0
"['Caitlyn', 'Ivern', 'Maokai', 'Veigar', 'Vladimir']","['Akali', 'Master Yi', 'Miss Fortune', 'Vayne', 'Vladimir']",1
"['Caitlyn', 'Master Yi', 'Nasus', 'Orianna', 'Thresh']","['Blitzcrank', 'Miss Fortune', 'Neeko', 'Shyvana', 'Varus']",0
"['Jinx', 'Nasus', 'Sett', 'Sivir', 'Lux']","['Caitlyn', 'Tristana', 'Wukong', 'Yone', 'Lux']",0
"['Lux', 'Miss Fortune', 'Nautilus', 'Urgot', 'Master Yi']","['Ezreal', 'Graves', 'Morgana', 'Poppy', 'Master Yi']",1
"['Irelia', 'Sivir', 'Tahm Kench', ""Vel'Koz"", 'Volibear']","['Amumu', 'Caitlyn', 'Lulu', 'Morgana', 'Sett']",1
"['Caitlyn', 'Hecarim', 'Ryze', 'Vayne', ""Vel'Koz""]","['Garen', ""Kha'Zix"", 'Morgana', 'Twitch', 'Volibear']",1
"['Ahri', 'Kayn', 'Senna', 'Sett', 'Varus']","['Galio', 'Ivern', 'Nasus', 'Tristana', ""Vel'Koz""]",1
"['Graves', 'Karma', ""Kog'Maw"", 'Lux', 'Renekton']","[""Cho'Gath"", 'Hecarim', 'Tristana', ""Vel'Koz"", 'Yasuo']",0
"['Jhin', 'Nami', 'Rengar', 'Sett', 'Yone']","['Ashe', 'Diana', 'Dr. Mundo', 'Graves', ""Vel'Koz""]",0
"['Ashe', 'Camille', 'Hecarim', 'Urgot', ""Vel'Koz""]","['Jax', 'Lux', 'Miss Fortune', 'Orianna', 'Ornn']",1
"['Fiora', 'Jhin', 'Sett', 'Twisted Fate', ""Vel'Koz""]","['Caitlyn', ""Kha'Zix"", 'Mordekaiser', 'Morgana', 'Viktor']",1
"['Irelia', 'Sylas', 'Tristana', 'Tryndamere', ""Vel'Koz""]","['Caitlyn', 'Dr. Mundo', 'Fizz', 'Malphite', 'Volibear']",1
"['Ahri', 'Bard', 'Miss Fortune', 'Rengar', 'Teemo']","['Akali', 'Alistar', 'Gragas', 'LeBlanc', 'Lucian']",0
"['Graves', 'Senna', 'Tahm Kench', 'Urgot', 'Ziggs']","['Dr. Mundo', 'Irelia', 'Jhin', 'Pyke', 'Warwick']",0
"['Alistar', 'Jinx', 'Kayle', 'Veigar', 'Vi']","['Annie', 'Caitlyn', 'Master Yi', 'Pyke', 'Shen']",0
"['Jhin', 'Kayle', 'Kayn', 'Neeko', 'Pyke']","['Jinx', 'Lee Sin', 'Leona', 'Rumble', 'Sylas']",0
"['Jhin', 'Lulu', 'Master Yi', 'Ornn', 'Zoe']","['Fizz', 'Nami', 'Teemo', 'Varus', 'Warwick']",1
"['Akali', 'Lux', 'Vayne', 'Zac', 'Zed']","['Jhin', 'Qiyana', 'Senna', 'Vladimir', 'Volibear']",1
"['Camille', 'Kayn', 'Miss Fortune', 'Senna', 'Yone']","['Jhin', 'Nautilus', 'Skarner', 'Urgot', 'Yasuo']",0
"['Jinx', 'Sion', 'Skarner', 'Ziggs', 'Zyra']","['Amumu', 'Bard', 'Dr. Mundo', 'Ezreal', 'Ryze']",1
"['Aurelion Sol', 'Caitlyn', 'Garen', 'Lux', 'Sett']","['Irelia', 'Jinx', 'Kayn', 'Nautilus', 'Tahm Kench']",0
"['Ashe', ""Kha'Zix"", 'Nami', 'Urgot', 'Zoe']","['Garen', 'Hecarim', 'Janna', 'Lucian', 'Twisted Fate']",0
"['Akali', 'Ashe', 'Ekko', 'Nami', 'Shen']","['Hecarim', 'Lux', 'Miss Fortune', 'Morgana', 'Urgot']",1
"['Jhin', 'Lux', 'Malphite', 'Shaco', ""Vel'Koz""]","['Ezreal', 'Kayn', 'Riven', 'Thresh', 'Veigar']",1
"['Illaoi', 'Kalista', 'Lulu', 'Master Yi', 'Yasuo']","['Ashe', 'Janna', 'Lee Sin', 'Mordekaiser', 'Yone']",0
"['Brand', 'Ekko', 'Ezreal', 'Lux', 'Volibear']","['Akali', 'Garen', 'Jinx', 'Lee Sin', 'Taric']",1
"['Evelynn', 'Kayle', 'Lucian', 'Sett', 'Yasuo']","['Ekko', ""Kog'Maw"", 'Shen', 'Soraka', 'Sylas']",0
"['Jhin', 'Lux', 'Poppy', 'Yuumi', 'Zac']","['Akali', 'Ashe', 'Elise', 'Renekton', 'Sett']",1
"['Draven', 'Evelynn', 'Illaoi', 'Senna', 'Yasuo']","['Lillia', 'Lux', 'Maokai', 'Miss Fortune', 'Soraka']",1
"['Ahri', 'Hecarim', 'Miss Fortune', 'Senna', 'Urgot']","['Ashe', 'Braum', 'Lux', 'Sejuani', 'Yorick']",0
"['Caitlyn', 'Diana', 'Lee Sin', 'Poppy', 'Senna']","['Ahri', 'Amumu', 'Ashe', 'Lux', 'Teemo']",0
"['Caitlyn', 'Fizz', 'Morgana', 'Yone', 'Yorick']","['Blitzcrank', 'Fiddlesticks', 'Miss Fortune', 'Poppy', 'Qiyana']",1
"['Fiora', ""Kai'Sa"", 'Kayle', 'Morgana', 'Sett']","['Elise', 'Malphite', 'Neeko', 'Pyke', 'Zoe']",1
"['Kassadin', 'Maokai', 'Miss Fortune', 'Pyke', 'Urgot']","['Heimerdinger', 'Master Yi', 'Nautilus', 'Riven', 'Vayne']",0
"['Aatrox', 'Jax', 'Taliyah', 'Taric', 'Xayah']","['Hecarim', 'Heimerdinger', 'Jinx', 'Shen', 'Teemo']",1
"['Azir', 'Hecarim', 'Rengar', 'Sona', 'Varus']","['Kayle', 'Lux', 'Miss Fortune', 'Warwick', 'Xerath']",0
"['Blitzcrank', 'Irelia', ""Kai'Sa"", 'Ornn', 'Volibear']","['Caitlyn', 'Kayle', 'Morgana', 'Sona', 'Xin Zhao']",1
"['Akali', 'Fiora', 'Lulu', 'Miss Fortune', 'Warwick']","['Draven', 'Hecarim', 'Orianna', 'Sona', 'Urgot']",1
"['Akali', 'Lee Sin', 'Lucian', 'Senna', 'Tahm Kench']","['Blitzcrank', 'Jhin', 'Kled', 'Shaco', 'Zoe']",0
"['Akali', 'Caitlyn', 'Nasus', 'Sona', 'Yone']","['Darius', 'Illaoi', ""Kai'Sa"", 'Qiyana', 'Teemo']",0
"['Akali', 'Lucian', 'Lux', 'Shaco', 'Sylas']","['Ezreal', 'Jinx', 'Malphite', 'Pyke', 'Yone']",1
"['Gangplank', 'Graves', 'Janna', ""Kai'Sa"", 'Veigar']","['Lillia', 'Olaf', 'Rakan', 'Xayah', 'Yone']",1
"['Camille', 'Kayn', 'Miss Fortune', 'Thresh', 'Yone']","['Akali', 'Ekko', 'Jhin', 'Leona', 'Maokai']",1
"['Jhin', 'Kayle', 'Kayn', 'Neeko', 'Pyke']","['Jinx', 'Lee Sin', 'Leona', 'Rumble', 'Sylas']",0
